,City,Vehicle Revenue Miles,Population
0,Abilene,831433,122775
1,Akron,6016822,197884
2,Albany,36233874,224748
3,Albuquerque,9681806,559629
4,Alexandria,5134137,159069
5,Alhambra,1367870,84373
6,Allentown,5461430,121537
7,Amarillo,1012770,199183
8,Ames,1368707,66001
9,Anaheim,1559277,350698
10,Anchorage,5631321,290521
11,Anderson,829596,54883
12,Ann Arbor,7635237,121429
13,Antioch,2753868,111578
14,Appleton,1875926,74378
15,Arcadia,469639,58385
16,Arlington,3634233,398123
17,Asheville,1036286,92630
18,Atlanta,64161551,498183
19,Auburn,6175788,147284
20,Austin,28863479,962469
21,Bakersfield,6920755,381714
22,Baldwin Park,206829,75572
23,Baltimore,63074142,602443
24,Baton Rouge,3930254,222190
25,Battle Creek,531742,51105
26,Bayonne,132559,64677
27,Beaumont,1702726,166793
28,Bellflower,101171,76906
29,Bellingham,3500567,90464
30,Bend,1384579,97620
31,Bethlehem,3951815,75742
32,Billings,737597,109444
33,Birmingham,4654464,210487
34,Bismarck,1077066,73229
35,Bloomington,5384205,248417
36,Boston,93585704,691147
37,Boulder,695927,106008
38,Bowling Green,395473,68633
39,Bridgeport,2317486,144772
40,Bristol,580471,60101
41,Brockton,1998335,95723
42,Brownsville,1543303,182333
43,Bryan,1662234,84817
44,Buffalo,11098715,255781
45,Burbank,309680,103349
46,Burlington,8125105,53911
47,Burnsville,3873061,61162
48,Camarillo,357685,68883
49,Cambridge,1301648,118151
50,Camden,250441,73725
51,Canton,4685401,70752
52,Carlsbad,206677,115518
53,Carmel,624751,99143
54,Carrollton,359299,137013
55,Carson,440245,91626
56,Carson City,266655,55202
57,Casper,446030,57515
58,Cedar Rapids,2600440,133209
59,Cerritos,236550,50288
60,Charleston,5586966,183283
61,Charlotte,20298775,872514
62,Chattanooga,2745867,181918
63,Cheyenne,417896,63835
64,Chicago,169496537,2701423
65,Chico,1456830,94342
66,Cincinnati,11233626,302277
67,Clarksville,1529584,156376
68,Cleveland,23635600,383214
69,Clovis,199189,111824
70,Coconut Creek,185249,61205
71,Coeur d'Alene,161436,51210
72,Colorado Springs,4309677,472567
73,Columbia,39916136,255303
74,Columbus,40491824,1085038
75,Compton,150463,96348
76,Concord,11303886,223935
77,Conroe,92642,87578
78,Conway,1140146,67032
79,Coral Springs,89595,133712
80,Corona,368853,168476
81,Corpus Christi,5154978,326307
82,Corvallis,937322,58969
83,Dallas,51624561,1341802
84,Danbury,1435852,84675
85,Davenport,1404576,101918
86,Davis,906775,69220
87,Dayton,8693412,140439
88,Decatur,3410616,125500
89,Deerfield Beach,71018,80666
90,Delano,204960,52921
91,Denton,1290089,138315
92,Denver,64967293,716265
93,Des Moines,6819940,215994
94,Detroit,28473910,672977
95,Dothan,1090048,68337
96,Downey,191536,111915
97,Dubuque,1198271,57975
98,Duluth,2429723,85856
99,Durham,4841611,274557
100,Eau Claire,1235690,68770
101,Eden Prairie,1507745,64263
102,Edmond,271539,92893
103,El Monte,38231045,115308
104,El Paso,10002320,679875
105,Elizabeth,2176945,128599
106,Elk Grove,1025867,172603
107,Elyria,412178,53797
108,Enid,243349,49723
109,Erie,3131894,96298
110,Eugene,8193138,170701
111,Evansville,1508203,118060
112,Everett,16069762,111088
113,Fairfield,1937459,116678
114,Fargo,1698859,124091
115,Farmington Hills,7066423,80939
116,Fayetteville,5411108,297363
117,Flagstaff,1195039,73762
118,Flint,8494165,95926
119,Folsom,182985,78842
120,Fort Collins,3142382,168324
121,Fort Lauderdale,281814,182101
122,Fort Myers,4893091,82229
123,Fort Smith,568131,87720
124,Fort Wayne,1831514,267460
125,Fort Worth,9838969,893216
126,Framingham,2254868,72909
127,Franklin,1391227,81027
128,Frederick,2884544,71945
129,Fremont,362242,237811
130,Fresno,6492458,528814
131,Fullerton,32376,139273
132,Gainesville,4930207,133665
133,Galveston,776718,50396
134,Gardena,1745483,59540
135,Gary,1007697,75210
136,Gastonia,829064,76885
137,Glendale,2471580,450643
138,Glendora,206239,51846
139,Grand Forks,610132,56637
140,Grand Island,159937,51219
141,Grand Junction,986612,63131
142,Grand Prairie,154817,193989
143,Grand Rapids,8246407,200136
144,Great Falls,608344,58751
145,Greeley,683786,107475
146,Green Bay,1429520,104833
147,Greensboro,7277232,294518
148,Greenville,4395106,161538
149,Gulfport,1731045,71771
150,Hamilton,1042689,62132
151,Hammond,229442,75877
152,Hampton,15119878,134330
153,Hanford,11969664,56971
154,Harrisonburg,760696,53488
155,Hartford,18913722,122556
156,Haverhill,2274805,63926
157,Hayward,836328,159760
158,Henderson,4445612,309518
159,Hendersonville,318092,57634
160,Hesperia,10027883,95013
161,High Point,528181,112073
162,Hoboken,8843647,53134
163,Hollywood,130956,154381
164,Honolulu,26400757,346945
165,Houston,76701923,2318573
166,Huntsville,1224551,198125
167,Idaho Falls,614404,62023
168,Independence,1148329,117017
169,Indianapolis,10979757,870960
170,Inglewood,116623,109038
171,Iowa City,1955865,75696
172,Jackson,8775684,230724
173,Jacksonville,30080898,975212
174,Janesville,455220,64483
175,Jersey City,13822218,263851
176,Johnson City,3765931,66759
177,Jonesboro,593230,77234
178,Joplin,318455,50604
179,Kalamazoo,3015810,76483
180,Kannapolis,551166,49770
181,Kansas City,24030356,644977
182,Kenosha,1481397,99908
183,Kent,1513341,131734
184,Kingsport,327704,54006
185,Knoxville,8818727,187362
186,Kokomo,544629,57922
187,La Crosse,1002603,51491
188,Lafayette,6682212,198604
189,Lake Charles,502113,78266
190,Lakeland,2127395,110421
191,Lakewood,325916,347112
192,Lancaster,21456102,218029
193,Lansing,6430485,117931
194,Laredo,1953562,260856
195,Largo,3308099,84937
196,Las Cruces,950925,102812
197,Las Vegas,29507387,643228
198,Lauderhill,204052,71924
199,Lawrence,3379806,177299
200,Lawton,811778,92945
201,Lewisville,2970161,106938
202,Lincoln,2353068,286930
203,Livermore,2160306,90253
204,Lodi,1311313,67003
205,Logan,1062714,51334
206,Long Beach,7660685,465865
207,Longview,1153943,81191
208,Los Angeles,148370456,3977596
209,Loveland,280062,77752
210,Lowell,1929239,111362
211,Lubbock,2497590,256469
212,Lynchburg,1261330,81309
213,Lynwood,134510,70285
214,Madera,598224,65440
215,Madison,12176814,308345
216,Malden,374531,60735
217,Manchester,2971110,112492
218,Manhattan,751687,54983
219,Mansfield,498011,70796
220,Manteca,178343,81603
221,Maple Grove,200811,71711
222,Margate,145849,58495
223,Maricopa,46498,50028
224,Marietta,3732201,60647
225,Marysville,1288120,69606
226,McAllen,544510,142530
227,Medford,2809448,139887
228,Memphis,7202570,651104
229,Merced,2723414,83113
230,Meridian,2036159,106464
231,Miami,52850438,462819
232,Midland,2453241,142173
233,Milford,543324,53148
234,Milwaukee,19096281,591375
235,Minneapolis,30957308,424903
236,Miramar,169656,140564
237,Missoula,1295708,74882
238,Mobile,1681426,189809
239,Modesto,3436252,214389
240,Montebello,2401176,62440
241,Monterey Park,249461,60198
242,Montgomery,1483989,198899
243,Muncie,955725,68115
244,Murfreesboro,246892,141442
245,Nampa,623353,96213
246,Napa,1721065,78946
247,Nashua,571644,88871
248,New Bedford,2095348,95371
249,New Britain,1008642,72591
250,New Brunswick,4280349,55878
251,New Orleans,8025199,391004
252,New York,582918358,8390081
253,Newark,335119920,331753
254,Newton,74547,88641
255,Noblesville,523049,63303
256,Norfolk,144457,243585
257,North Charleston,3096637,113077
258,North Little Rock,3241898,66022
259,Norwalk,5556366,193859
260,Oakland,105487222,429056
261,Ocala,1511512,60274
262,Oceanside,9370151,175758
263,Oklahoma City,3436915,647912
264,Olathe,2207396,139758
265,Olympia,7084170,52508
266,Omaha,5068534,477299
267,Ontario,260239,180718
268,Orange,40537480,139449
269,Orlando,26694415,285903
270,Oshkosh,950637,66802
271,Owensboro,2407830,59745
272,Oxnard,2965313,209271
273,Pasadena,1810854,293639
274,Pensacola,2506891,52637
275,Peoria,6898454,283712
276,Petaluma,1067801,61826
277,Philadelphia,91772173,1583592
278,Phoenix,53825403,1654675
279,Pico Rivera,21737,62677
280,Pittsburgh,33622855,300570
281,Plantation,24057148,94019
282,Plymouth,346081,79345
283,Pocatello,704374,55982
284,Pomona,2878386,151925
285,Pompano Beach,4407509,111636
286,Port Arthur,342222,54889
287,Porterville,742618,59685
288,Portland,86555218,717242
289,Portsmouth,2817637,94750
290,Providence,11812067,179520
291,Pueblo,1241666,111725
292,Quincy,831215,94403
293,Racine,1268887,77075
294,Raleigh,9002558,469314
295,Rapid City,548463,76170
296,Redding,1018614,91606
297,Redondo Beach,448541,67206
298,Reno,6952998,250146
299,Richland,8521998,57533
300,Richmond,25804370,339410
301,Riverside,14036224,329654
302,Roanoke,2844685,99009
303,Rochester,20617762,323051
304,Rock Hill,526287,74458
305,Rockford,2065681,146307
306,Rockville,13294018,68028
307,Rocky Mount,1920812,54232
308,Rosemead,158803,54226
309,Roseville,719913,138953
310,Roswell,324187,94665
311,Round Rock,260826,128849
312,Sacramento,14704205,507737
313,Saginaw,1195747,48310
314,Salem,6652738,172646
315,Salt Lake City,39149927,200435
316,San Angelo,1105543,100009
317,San Antonio,37412791,1530016
318,San Bernardino,11415447,216323
319,San Diego,51086493,1421917
320,San Francisco,33038026,880696
321,San Jose,24936784,1028020
322,San Marcos,1611852,160168
323,San Rafael,3004682,58704
324,Sandy,347042,96737
325,Sanford,1555359,60107
326,Santa Barbara,2627848,91203
327,Santa Clarita,3545218,213549
328,Santa Cruz,3312817,64643
329,Santa Fe,1099479,84211
330,Santa Maria,977992,107218
331,Santa Monica,5084921,91106
332,Santa Rosa,3239272,176750
333,Sarasota,6624478,57746
334,Savannah,3290510,145817
335,Scottsdale,1021967,254479
336,Scranton,1756058,77017
337,Seattle,84082123,742235
338,Shawnee,429474,65933
339,Shreveport,2937119,189360
340,Simi Valley,540835,125438
341,Sioux City,1736863,82380
342,Sioux Falls,1222584,180398
343,Somerville,1198722,81357
344,South Bend,2634318,101971
345,South Gate,362387,94135
346,Spokane,9277891,219332
347,Springdale,778774,80907
348,Springfield,61199930,558777
349,St. Cloud,4108308,122381
350,St. George,416460,87113
351,St. Joseph,1147530,75604
352,St. Louis,30018249,303419
353,St. Paul,29592333,306960
354,St. Petersburg,12984217,264466
355,Stillwater,683193,50479
356,Stockton,4634975,311628
357,Suffolk,258519,90975
358,Sugar Land,1754794,118777
359,Syracuse,6129219,142745
360,Tacoma,11813952,216111
361,Tallahassee,4643663,192763
362,Tampa,11022246,397232
363,Taunton,3518988,57365
364,Terre Haute,573906,60775
365,Texas City,965679,49078
366,Thousand Oaks,1049184,127279
367,Toledo,4947612,274864
368,Topeka,1134193,125778
369,Torrance,2370761,144706
370,Tracy,416966,91818
371,Trenton,553485,83604
372,Troy,1557982,133465
373,Tucson,980186,544858
374,Tulare,639848,64274
375,Tulsa,3773603,400414
376,Turlock,304094,73396
377,Tuscaloosa,398647,100190
378,Twin Falls,87298,49713
379,Tyler,654006,105668
380,Union City,1084354,142684
381,Utica,264409,60040
382,Vacaville,566729,99949
383,Valdosta,298724,56428
384,Vallejo,1721283,121677
385,Vancouver,5696047,182887
386,Victoria,1074097,66835
387,Visalia,4452130,133428
388,Waco,1971114,137886
389,Warren,1120769,134376
390,Warwick,110175,80966
391,Washington,147216701,701547
392,Waterbury,1901963,108123
393,Waterloo,1432519,67722
394,Waukesha,1231386,72453
395,West Covina,12574894,105964
396,West Palm Beach,17414165,111058
397,Westminster,1394038,203969
398,White Plains,11318128,58141
399,Whittier,186061,85791
400,Wichita,2564138,389231
401,Wichita Falls,574267,104356
402,Wilmington,11602522,193073
403,Winston-Salem,3177944,246535
404,Woodland,2279677,60474
405,Worcester,3056242,185555
406,Yakima,1878548,93548
407,Youngstown,1739481,64860
408,Yuma,1367969,97648
