State,Vehicle Revenue Miles,Carbon Emissions (Metric Tons),Population,Land Area,Population Density,Carbon Emissions per Capita (Metric Tons),Vehicle Revenue Miles per Capita,CE per VRM
Alabama,17633916,112355471,4887871,50645,96.512410,22.9865868,3.607688501,6.371555303
Alaska,9265669,34514589,737438,570641,1.292298,46.80337737,12.56467527,3.724996975
Arizona,76311667,94095509,7171646,113594,63.134021,13.12048991,10.64074649,1.233042242
Arkansas,18196673,70786146,3013825,52035,57.919189,23.4871454,6.037733777,3.890059793
California,690837942,358594718,39557045,155779,253.930536,9.065255456,17.46434654,0.5190721242
Colorado,95281540,90061689,5695564,103642,54.954208,15.8126024,16.72907898,0.9452165551
Connecticut,35552797,37384241,3572665,4842,737.849029,10.46396486,9.951338007,1.051513359
Delaware,16253314,13989310,967171,1949,496.239610,14.4641537,16.80500553,0.8607050845
Florida,226671427,242009113,21299325,53625,397.190210,11.36229026,10.64218829,1.067664841
Georgia,98289578,141920924,10519475,57513,182.906039,13.49125541,9.34358207,1.443906128
Hawaii,33812718,20301213,1420491,6423,221.156936,14.29168717,23.80354258,0.6004016891
Idaho,8453096,19042761,1754208,82643,21.226335,10.85547495,4.818753534,2.252755795
Illinois,283782349,213100132,12741080,55519,229.490445,16.72543709,22.27302152,0.7509280713
Indiana,43293252,189216168,6691878,35826,186.788310,28.27549576,6.469522009,4.370569529
Iowa,29537256,82427563,3156145,55857,56.504019,26.11653235,9.358649872,2.790630348
Kansas,16170349,62852776,2911505,81759,35.610820,21.58772731,5.553948559,3.886915242
Kenctucky,54681220,122771335,4468402,39486,113.164210,27.47544536,12.23730989,2.245219382
Louisiana,26133501,194743220,4659978,43204,107.859874,41.79058785,5.608073901,7.451861119
Maine,18743171,14763073,1338404,30843,43.394093,11.0303563,14.00412058,0.7876507662
Maryland,95821243,61685315,6042718,9707,622.511384,10.2082068,15.85730842,0.6437540682
Massachusetts,133238213,64107395,6902149,7800,884.890897,9.28803406,19.30387376,0.4811487152
Michigan,108122144,163717444,9995915,56539,176.796813,16.37843499,10.81663299,1.514189767
Minnesota,88585995,94756050,5611179,79627,70.468296,16.88701252,15.78741206,1.069650457
Mississippi,15409229,63232526,2986530,46923,63.647465,21.17257352,5.159576164,4.103548984
Missouri,64936433,124780532,6126452,68742,89.122400,20.36750341,10.59935392,1.921579709
Montana,7599065,31257967,1062305,145546,7.298758,29.42466335,7.153374031,4.113396451
Nebraska,11073001,52355010,1929268,76824,25.112829,27.13724065,5.739483058,4.728168091
Nevada,39188348,41383070,3034392,109781,27.640411,13.63801051,12.91472822,1.056004453
New Hampshire,7161564,14239732,1356458,8953,151.508768,10.49773159,5.279606151,1.988355058
New Jersey,228527992,105068884,8908520,7354,1211.384281,11.79420195,25.65274501,0.4597637387
New Mexico,16772694,45853909,2095428,121298,17.275042,21.88283682,8.004423917,2.733842816
New York,759554156,175096965,19542209,47126,414.679986,8.95993718,38.86736428,0.2305259785
North Carolina,98083827,124212734,10383620,48618,213.575630,11.96237285,9.446014685,1.266393633
North Dakota,6626989,59282972,760077,69001,11.015449,77.9960083,8.718839012,8.9456874
Ohio,102770740,208966675,11689442,40861,286.078216,17.87653123,8.791757554,2.033328504
Oklahoma,28887537,98010364,3943079,68595,57.483475,24.8563024,7.326137011,3.392825217
Oregon,67702047,39580131,4190713,95988,43.658718,9.4447248,16.15525735,0.5846223675
Pennsylvania,188731731,220193891,12807060,44743,286.236059,17.19316463,14.73653836,1.166703075
Rhode Island,11812067,11056924,1057315,1034,1022.548356,10.45754955,11.17175771,0.9360702068
South Carolina,20147806,74146749,5084127,30061,169.127008,14.58396869,3.96288409,3.680140111
South Dakota,7299763,15523995,882235,75811,11.637295,17.59621303,8.274170714,2.126643701
Tennessee,56599298,93835982,6770010,41235,164.181157,13.86053817,8.360297548,1.657900103
Texas,278165845,684689594,28701845,261232,109.871092,23.85524673,9.691566692,2.461443798
Utah,42981174,61248716,3161105,82170,38.470305,19.37572969,13.59688274,1.425012635
Vermont,18500720,5854280,626299,9217,67.950418,9.347420322,29.53975657,0.3164352522
Virginia,80189807,110055488,8517685,39490,215.692201,12.92082156,9.414507228,1.372437372
Washington,175278128,78658554,7535591,66456,113.392184,10.43827272,23.26003733,0.4487642292
West Virginia,12458789,89144796,1805832,24038,75.124054,49.36494425,6.899196049,7.155173428
Wisconsin,52615754,101172770,5813568,54158,107.344584,17.40287032,9.050509773,1.922860784
Wyoming,3760507,63846081,577737,97093,5.950347,110.510632,6.509029195,16.97805136